day;delta;algorithm;avg_M;max_M
2025-12-03;2100;ttv;164702.66011268258;211923.83331508117
2025-12-04;2100;ttv;132832.68635467274;198924.505932161
2025-12-05;2100;ttv;132354.36406606418;221479.53244965905
2025-12-06;2100;ttv;83096.51707382982;155050.78510740274
2025-12-07;2100;ttv;43084.4652407542;87703.5420632512
2025-12-08;2100;ttv;46898.570356414304;87936.18783449849
2025-12-09;2100;ttv;48553.100096611415;111761.89347898777
2025-12-10;2100;ttv;53098.93093684125;106936.39223481556
2025-12-11;2100;ttv;65168.60664411429;117479.2308712047
2025-12-12;2100;ttv;62021.69194699976;129508.18727696894
2025-12-13;2100;ttv;52743.617603757746;104791.30880948025
2025-12-14;2100;ttv;62478.07174200065;130523.51066112268
2025-12-15;2100;ttv;96814.325361118;132639.1078360414
2025-12-16;2100;ttv;90362.59249557687;128967.5052146066
2025-12-17;2100;ttv;99077.27703299077;204496.78023947033
2025-12-18;2100;ttv;100684.7062701812;163539.9417103282
2025-12-19;2100;ttv;92007.54554200654;144705.09112174768
2025-12-20;2100;ttv;43621.84243843086;104079.91590634637
2025-12-21;2100;ttv;41239.78184287758;65938.9820219632
2025-12-22;2100;ttv;69179.52333665776;96336.4198360117
2025-12-23;2100;ttv;52563.68330520087;65190.59080387203
2025-12-24;2100;ttv;56569.59557651058;62324.18448445332
2025-12-25;2100;ttv;49648.05229262804;60001.02350331524
2025-12-26;2100;ttv;57895.97573525065;74200.22531426033
2025-12-27;2100;ttv;43088.802986099196;53455.889316089124
2025-12-28;2100;ttv;58692.214255649116;76791.2361898176
2025-12-29;2100;ttv;90112.07519751908;118801.58473837012
2025-12-30;2100;ttv;65126.281753353425;85182.3658455764
2025-12-31;2100;ttv;59537.09196691556;70194.02229970433
2025-12-01;2100;defi;13224.770826597705;20603.282540693155
2025-12-02;2100;defi;12125.974541863976;17604.858149346364
2025-12-03;2100;defi;12057.491425342569;15647.537446104696
2025-12-04;2100;defi;10459.333557172346;13372.346654572471
2025-12-05;2100;defi;11846.631116427816;17333.705990783914
2025-12-06;2100;defi;5863.654936361885;13876.38646993195
2025-12-07;2100;defi;3994.771620988514;6389.3047883329555
2025-12-08;2100;defi;9927.27552753374;16040.67808931773
2025-12-09;2100;defi;11582.580346536744;17266.279833446028
2025-12-10;2100;defi;11119.746092121073;15788.05585141375
2025-12-11;2100;defi;12147.494250234724;14702.561331954603
2025-12-12;2100;defi;10661.821760412264;14013.208741439032
2025-12-13;2100;defi;5553.050127834559;12311.293495312799
2025-12-14;2100;defi;5447.025592597307;7065.183277883914
2025-12-15;2100;defi;10028.86151413607;15060.755691835519
2025-12-16;2100;defi;10566.349210972252;13496.818643271003
2025-12-17;2100;defi;10163.031425398853;14023.135498504509
2025-12-18;2100;defi;10014.222576894537;12738.92010816118
2025-12-19;2100;defi;10461.000520276268;15133.796235313966
2025-12-20;2100;defi;4705.6937496407445;11841.324272531223
2025-12-21;2100;defi;3245.435402662752;5270.227422874523
2025-12-22;2100;defi;8269.88482390754;12291.584884319545
2025-12-23;2100;defi;10319.24131476407;15660.005194746615
2025-12-24;2100;defi;10061.051735991898;14902.207185704896
2025-12-25;2100;defi;5142.368095368571;7404.578810345724
2025-12-26;2100;defi;7424.0191804289825;9696.561722316568
2025-12-27;2100;defi;4494.291670103405;8322.936596308342
2025-12-28;2100;defi;4062.529904989697;8030.754846770097
2025-12-29;2100;defi;11921.520961839607;15442.975302593912
2025-12-30;2100;defi;11952.766388753022;17387.69411742657
2025-12-31;2100;defi;11167.82472742909;16674.354338096156
2025-12-01;2100;asp;2673.340246910507;5030.867790975712
2025-12-02;2100;asp;2463.0646914688305;4685.399653408845
2025-12-03;2100;asp;2480.3925212230583;3963.3790977251147
2025-12-04;2100;asp;2000.3911395894265;3244.8813628507596
2025-12-05;2100;asp;2260.0202661311855;5208.0082973073595
2025-12-06;2100;asp;1328.3457500703914;4426.91642145187
2025-12-07;2100;asp;886.6961656789676;2194.288657832254
2025-12-08;2100;asp;2204.095739782333;4299.125467856962
2025-12-09;2100;asp;2213.751584962186;3718.243703833348
2025-12-10;2100;asp;2536.669499543448;4470.254288782567
2025-12-11;2100;asp;2342.965402727772;4464.254521027239
2025-12-12;2100;asp;2196.7365976882766;3182.7690017339182
2025-12-13;2100;asp;1027.4749977186566;2971.9457369454594
2025-12-14;2100;asp;1521.4749201659704;2898.2021621933413
2025-12-15;2100;asp;2145.991778849341;3395.20275486706
2025-12-16;2100;asp;1885.3334946848458;3151.827426608925
2025-12-17;2100;asp;2494.431530310106;4684.898685069036
2025-12-18;2100;asp;1835.147477535843;2750.3874278802377
2025-12-19;2100;asp;1966.5832812718281;3599.5563941965997
2025-12-20;2100;asp;928.7290038664331;2774.267503812636
2025-12-21;2100;asp;686.2674621151715;1427.30725585079
2025-12-22;2100;asp;1571.7220362145406;2602.217984378474
2025-12-23;2100;asp;1761.5385714303186;3456.09740406139
2025-12-24;2100;asp;2006.3185184168733;3160.9689533245223
2025-12-25;2100;asp;1235.0865535042278;1843.3563115524028
2025-12-26;2100;asp;1595.5247657573261;2270.5438016736393
2025-12-27;2100;asp;1198.1228066323565;2386.057986204248
2025-12-28;2100;asp;1057.379466031992;2772.208354759253
2025-12-29;2100;asp;2424.9209320255404;3004.0199507247116
2025-12-30;2100;asp;2396.9425753590676;4058.797318803516
2025-12-31;2100;asp;2425.7921128526136;3803.185932547299
